author_url,avatar_url,author_name,author_handle,badge,post_time,tweet_text,replies,retweets,likes,tweet_url,analytics_url,cleaned_text,lemmatized_text,sentiment
https://x.com/ProudSocialist,https://pbs.twimg.com/profile_images/1712129275879407616/UehnD0bo_normal.jpg,Power to the People ☭,@ProudSocialist,Follow,Click to Follow ProudSocialist,"Rubio: “Imagine if instead of spending billions on weapons, Iran spent that money on its people. They’d have a much different country.”

Imagine if instead of spending TRILLIONS on war the US spent that money on its people. We’d have a better country & the world would have peace.",0:13,"5:22 AM · Mar 31, 2026",·,https://x.com/ProudSocialist/status/2038728611889328346/analytics,https://x.com/HororPotong,rubio imagine if instead of spending billions on weapons iran spent that money on its people theyd have a much different country imagine if instead of spending trillions on war the __united_states__ spent that money on its people wed have a better country the world would have peace,rubio imagine instead spending billion weapon iran spent money people theyd much different country imagine instead spending trillion war united_states spent money people wed better country world would peace,Positive
https://x.com/noodleandeggrol,https://pbs.twimg.com/profile_images/1418053089244848129/OIx_BnYW_normal.jpg,H** S**,@noodleandeggrol,·,18h,"Not sure if he's really that stupid, or is this some psychological operation.",20,29,1.1K,https://x.com/noodleandeggrol/status/2038729312405520798,https://x.com/noodleandeggrol/status/2038729312405520798/analytics,not sure if hes really that stupid or is this some psychological operation,sure he really stupid psychological operation,Negative
https://x.com/ProudSocialist,https://pbs.twimg.com/profile_images/1712129275879407616/UehnD0bo_normal.jpg,Power to the People ☭,@ProudSocialist,·,18h,Oh they know what they are doing. They are blatantly spitting in our faces.,8,24,788,https://x.com/ProudSocialist/status/2038729527040360519,https://x.com/ProudSocialist/status/2038729527040360519/analytics,oh they know what they are doing they are blatantly spitting in our faces,oh know blatantly spitting face,Neutral
,,Show replies,,,,,,,,,,,,Neutral
https://x.com/Iran_Watch_,https://pbs.twimg.com/profile_images/2038632128972292096/AVvq9bvW_normal.jpg,Iran Unfiltered,@Iran_Watch_,·,20m,The borders are closed and the missiles are aimed. Let the Orange Pig try to open the path!,30,,,https://x.com/Iran_Watch_/status/2038998670108922114,https://x.com/Iran_Watch_/status/2038998670108922114/analytics,the borders are closed and the missiles are aimed let the orange pig try to open the path,border closed missile aimed let orange pig try open path,Neutral
https://x.com/Foo_Olitics,https://pbs.twimg.com/profile_images/2002188606203691008/RJl2uyGS_normal.jpg,FOO_OLITICS,@Foo_Olitics,·,15h,"There’s no way he said that when America is suffering also, This administration is a joke",234,,,https://x.com/Foo_Olitics/status/2038767796646219835,https://x.com/Foo_Olitics/status/2038767796646219835/analytics,theres no way he said that when america is suffering also this administration is a joke,there way said america suffering also administration joke,Positive
https://x.com/JennyWilliamshe,https://pbs.twimg.com/profile_images/1966283952898912256/tBF1I2-p_normal.jpg,Shellz,@JennyWilliamshe,·,14h,This guy has the nerve to say this when our Country is in the very exact situation.,36,1,1,https://x.com/JennyWilliamshe/status/2038779771325395192,https://x.com/JennyWilliamshe/status/2038779771325395192/analytics,this guy has the nerve to say this when our country is in the very exact situation,guy nerve say country exact situation,Neutral
https://x.com/dali0729,https://pbs.twimg.com/profile_images/2036729858135584769/ihqU1FAc_normal.jpg,Dali,@dali0729,·,9h,"Also, no sanctions for over 40 years would have helped.",751,,,https://x.com/dali0729/status/2038856991872020857,https://x.com/dali0729/status/2038856991872020857/analytics,also no sanctions for over years would have helped,also sanction year would helped,Positive
https://x.com/adeodatus313,https://pbs.twimg.com/profile_images/2022890025013125120/Xk7daYtC_normal.jpg,"Si Deus pro nobis est, quis contra nos esse potest",@adeodatus313,·,17h,"Imagine spending trillions on Universal Health care, food for the 40% Americans who can barely get by, free advanced education and skills training (not subject to Jew usury!!), organic pesticide free food, beautiful architecture, instead of money for Israel, wars, psy op programs",4.7K,2,26,https://x.com/adeodatus313/status/2038746404936433802,https://x.com/adeodatus313/status/2038746404936433802/analytics,imagine spending trillions on universal health care food for the americans who can barely get by free advanced education and skills training not subject to jew usury organic pesticide free food beautiful architecture instead of money for israel wars psy op programs,imagine spending trillion universal health care food american barely get free advanced education skill training subject jew usury organic pesticide free food beautiful architecture instead money israel war psy op program,Positive
https://x.com/omgyallrhaterz,https://pbs.twimg.com/profile_images/1870135820499218432/n-K0Aoor_normal.jpg,G’sdon’tbreak,@omgyallrhaterz,·,15h,"Imagine if those spineless beta male cucks like Elon, Rubio, Ted Cruz etc didn’t stay on their knees swallowing Trump juice. Imagine if this fn child predator, convicted felon, sexual assaulting dumbass hadn’t stupidly gotten into this war with Iran & allowed Iran to call his",3.8K,2,9,https://x.com/omgyallrhaterz/status/2038775538500653293,https://x.com/omgyallrhaterz/status/2038775538500653293/analytics,imagine if those spineless beta male cucks like elon rubio ted cruz etc didnt stay on their knees swallowing trump juice imagine if this fn child predator convicted felon sexual assaulting dumbass hadnt stupidly gotten into this war with iran allowed iran to call his,imagine spineless beta male cucks like elon rubio ted cruz etc didnt stay knee swallowing trump juice imagine fn child predator convicted felon sexual assaulting dumbass hadnt stupidly gotten war iran allowed iran call,Neutral
https://x.com/kenoconnor18,https://pbs.twimg.com/profile_images/1972561443741634560/H21U2rzF_normal.jpg,ken o’connor,@kenoconnor18,·,13h,He’s a dangerous clown,499,10,32,https://x.com/kenoconnor18/status/2038804291939639399,https://x.com/kenoconnor18/status/2038804291939639399/analytics,hes a dangerous clown,he dangerous clown,Negative
https://x.com/brijoyce,https://pbs.twimg.com/profile_images/2031575516344627206/PEEwcXcn_normal.jpg,Brian Joyce,@brijoyce,·,17h,Iran's national debt is under 200bn the US's is 40 trillion and there are no cities in Iran that look like this,11K,19,120,https://x.com/brijoyce/status/2038740244757901767,https://x.com/brijoyce/status/2038740244757901767/analytics,irans national debt is under bn the __united_states__s is trillion and there are no cities in iran that look like this,iran national debt bn united_statess trillion city iran look like,Neutral
https://x.com/shaikmukram,https://pbs.twimg.com/profile_images/1391281854204956674/N2oDMRx2_normal.jpg,Shaik Mukram | شیخ مکرم,@shaikmukram,·,14h,Then how would Israel benefit from US taxpayers money?,458,,,https://x.com/shaikmukram/status/2038786341253923028,https://x.com/shaikmukram/status/2038786341253923028/analytics,then how would israel benefit from __united_states__ taxpayers money,would israel benefit united_states taxpayer money,Positive
https://x.com/RealPrincessJas,https://pbs.twimg.com/profile_images/2000781393077600256/OMPhZN_m_normal.jpg,Eye of the Sun,@RealPrincessJas,·,16h,"Wait a minute!! This is coming from a a government which spends around $900 billion on the military while allocating only about $90 billion federally to education. 

It’s no surprise then the USA relies heavily on importing engineers and doctors from other countries—including",3.6K,2,23,https://x.com/RealPrincessJas/status/2038755864044318867,https://x.com/RealPrincessJas/status/2038755864044318867/analytics,wait a minute this is coming from a a government which spends around billion on the military while allocating only about billion federally to education its no surprise then the usa relies heavily on importing engineers and doctors from other countriesincluding,wait minute coming government spends around billion military allocating billion federally education surprise usa relies heavily importing engineer doctor countriesincluding,Neutral
https://x.com/rodwlatstetter,https://pbs.twimg.com/profile_images/2013759789117865985/-LkhDFZ1_normal.jpg,Rodney Latstetter,@rodwlatstetter,·,3h,"DOES YOUR BRAIN HEAR WHAT YOUR MOUTH SAYS? THE US DEBT IS $39,000,000,000,000 AND 99.99999999% IS SPENT ON",45,,,https://x.com/rodwlatstetter/status/2038944419999617146,https://x.com/rodwlatstetter/status/2038944419999617146/analytics,does your brain hear what your mouth says the __united_states__ debt is and is spent on,brain hear mouth say united_states debt spent,Neutral
